feature_name,sensor,normal_mean,anomaly_mean,mean_difference,normal_std,anomaly_std,normal_median,anomaly_median,cohens_d,mann_whitney_u,p_value,mutual_info
"Motor_Current__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0",Motor_Current,0.0463,0.41,0.3636,0.0139,0.2615,0.0439,0.3555,1.9194,373.5,9.921143157759321e-94,0.6149
"Vibration__fft_coefficient__attr_""abs""__coeff_4",Vibration,0.1294,1.4637,1.3343,0.0737,0.9583,0.1164,1.2226,1.9191,1750.0,1.1971040098237165e-87,0.5393
"Noise__fft_coefficient__attr_""abs""__coeff_13",Noise,2.6619,17.5708,14.9089,1.3708,10.6721,2.4906,14.8946,1.9164,2869.0,7.399844034138733e-83,0.4959
"Noise__fft_coefficient__attr_""abs""__coeff_5",Noise,2.6868,19.2783,16.5914,1.4663,11.9222,2.4245,16.9095,1.9102,2437.0,1.0859662704216247e-84,0.5147
"Pressure__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",Pressure,0.0193,0.1497,0.1304,0.0088,0.0942,0.0183,0.134,1.9053,2198.0,1.0277473471560789e-85,0.5232
Noise__energy_ratio_by_chunks__num_segments_10__segment_focus_9,Noise,0.1005,0.1115,0.011,0.002,0.0078,0.1005,0.1112,1.9053,6589.0,6.4870240753718554e-68,0.4271
"Vibration__fft_coefficient__attr_""abs""__coeff_7",Vibration,0.127,1.2982,1.1712,0.0646,0.8488,0.1228,1.2022,1.902,2049.0,2.3536359660791556e-86,0.5436
"Temperature__fft_coefficient__attr_""abs""__coeff_1",Temperature,2.6738,16.6617,13.9878,1.4977,10.0663,2.3805,15.3875,1.9014,4302.0,6.37775631349819e-77,0.4686
"Noise__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",Noise,0.1124,8.4366,8.3242,0.0839,6.0573,0.0952,7.3892,1.8991,641.0,1.565539082091943e-92,0.6107
"Pressure__fft_coefficient__attr_""abs""__coeff_7",Pressure,0.2313,1.9039,1.6726,0.1279,1.2133,0.2206,1.7139,1.8956,2882.0,8.396108176920206e-83,0.4925
Vibration__variance,Vibration,0.0014,0.1317,0.1302,0.0019,0.0952,0.0006,0.1094,1.8904,209.0,1.802661136379912e-94,0.6405
"Temperature__fft_coefficient__attr_""abs""__coeff_4",Temperature,1.3913,9.7208,8.3295,0.7976,6.0642,1.2881,9.3201,1.8835,4344.0,9.445872556500708e-77,0.4824
"Vibration__fft_coefficient__attr_""abs""__coeff_14",Vibration,0.1109,1.3537,1.2428,0.0583,0.9127,0.106,1.1428,1.8783,2033.0,2.008000875069841e-86,0.5531
"Noise__fft_coefficient__attr_""abs""__coeff_12",Noise,2.6735,17.7983,15.1248,1.484,11.0409,2.4533,15.6675,1.8778,2709.0,1.5579881332706634e-83,0.5056
"Vibration__fft_coefficient__attr_""abs""__coeff_12",Vibration,0.113,1.2527,1.1397,0.0575,0.837,0.1054,1.1339,1.8778,1785.0,1.6984902709255432e-87,0.5455
"Noise__linear_trend__attr_""rvalue""",Noise,0.0825,0.5256,0.4431,0.2761,0.1926,0.0485,0.5568,1.8767,8757.0,6.64758709600002e-60,0.3091
"Motor_Current__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",Motor_Current,0.0009,0.4762,0.4754,0.001,0.3509,0.0006,0.4427,1.872,249.0,2.7308041287968727e-94,0.6328
"Temperature__fft_coefficient__attr_""abs""__coeff_7",Temperature,1.3479,9.6823,8.3344,0.7847,6.1132,1.1957,8.3374,1.8702,2930.0,1.3380152928294027e-82,0.4834
"Noise__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",Noise,0.0769,3.1144,3.0375,0.3021,2.2261,0.0425,2.855,1.8701,5119.5,1.2295070952170107e-73,0.4848
"Vibration__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4",Vibration,0.0002,0.0464,0.0462,0.0001,0.0342,0.0002,0.0406,1.8676,490.0,3.306089537838886e-93,0.619
"Noise__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",Noise,3.6988,-0.828,-4.5268,0.6114,3.3041,3.7552,-0.6396,1.8646,75930.0,4.368470163716848e-68,0.4532
"Temperature__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",Temperature,0.229,1.0842,0.8551,0.0724,0.6326,0.2144,0.9662,1.857,2203.5,1.0872343654304864e-85,0.5005
"Noise__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",Noise,0.4179,2.2488,1.8309,0.131,1.3616,0.3995,1.934,1.8506,1771.0,1.4767122100119744e-87,0.5294
"Motor_Current__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",Motor_Current,0.0229,0.2738,0.2509,0.0124,0.1875,0.02,0.2312,1.8453,428.0,1.7411129948711174e-93,0.6057
"Vibration__fft_coefficient__attr_""abs""__coeff_6",Vibration,0.1229,1.5039,1.381,0.0675,1.0335,0.114,1.3642,1.843,2190.0,9.514232800672011e-86,0.5432
"Noise__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4",Noise,0.2983,21.7075,21.4092,0.2071,16.0866,0.2548,18.0777,1.8392,671.0,2.1307860140811617e-92,0.6085
"Temperature__fft_coefficient__attr_""abs""__coeff_11",Temperature,1.342,8.4863,7.1443,0.7412,5.323,1.2621,7.8181,1.8387,3400.0,1.2439696874821833e-80,0.4498
"Temperature__fft_coefficient__attr_""abs""__coeff_10",Temperature,1.383,8.8016,7.4186,0.7488,5.5339,1.3217,7.9112,1.8375,2917.0,1.1794346767044011e-82,0.4901
"Pressure__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0",Pressure,0.0334,0.1767,0.1433,0.0121,0.1072,0.0314,0.15,1.8373,2044.5,2.2502226494427184e-86,0.5194
"Noise__fft_coefficient__attr_""abs""__coeff_14",Noise,2.7436,17.8579,15.1142,1.4341,11.313,2.5557,15.9365,1.833,3396.0,1.197181129993957e-80,0.4866
"Temperature__fft_coefficient__attr_""abs""__coeff_9",Temperature,1.3488,9.1637,7.8149,0.7857,5.8496,1.2843,8.2251,1.8314,3344.0,7.270284611211062e-81,0.4608
"Vibration__fft_coefficient__attr_""abs""__coeff_9",Vibration,0.1172,1.2842,1.1669,0.0587,0.8794,0.1117,1.1299,1.8302,2474.0,1.5618659650512621e-84,0.5336
"Pressure__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""max""",Pressure,0.0064,0.305,0.2985,0.029,0.2241,0.005,0.285,1.8275,6017.5,3.940861043471235e-70,0.4927
"Motor_Current__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2",Motor_Current,0.0222,0.2235,0.2013,0.0107,0.152,0.02,0.2,1.8257,889.5,1.996269229579388e-91,0.5797
"Temperature__fft_coefficient__attr_""abs""__coeff_6",Temperature,1.3855,9.5422,8.1568,0.6705,6.1586,1.3661,8.4742,1.8206,3185.0,1.5754120323974889e-81,0.4868
"Temperature__fft_coefficient__attr_""abs""__coeff_5",Temperature,1.3532,9.152,7.7988,0.7151,5.8845,1.2916,8.1049,1.8195,3076.0,5.501654973589649e-82,0.4943
"Pressure__fft_coefficient__attr_""abs""__coeff_11",Pressure,0.2219,1.6383,1.4164,0.1196,1.0698,0.2042,1.3967,1.8195,3164.0,1.2866739026254659e-81,0.4851
"Vibration__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4",Vibration,0.0118,0.1191,0.1073,0.0064,0.0813,0.0109,0.106,1.8183,616.0,1.2083961815085228e-92,0.5832
"Noise__fft_coefficient__attr_""abs""__coeff_10",Noise,2.835,16.9653,14.1303,1.5311,10.65,2.6155,15.3724,1.8167,2953.0,1.6724261640710498e-82,0.4747
"Temperature__fft_coefficient__attr_""abs""__coeff_3",Temperature,1.4786,10.2156,8.7371,0.7994,6.6086,1.3181,9.2161,1.8151,4123.0,1.1899627362422312e-77,0.4586
"Noise__fft_coefficient__attr_""abs""__coeff_4",Noise,3.0294,19.7407,16.7113,1.6155,12.6342,2.9034,16.9667,1.8146,3731.0,2.927697755311438e-79,0.4865
